min,max,single,married_filing_jointly,married_filing_separately,head_of_household
76700,76750,12670,8812,12670,11228
76750,76800,12681,8818,12681,11239
76800,76850,12692,8824,12692,11250
76850,76900,12703,8830,12703,11261
76900,76950,12714,8836,12714,11272
76950,77000,12725,8842,12725,11283
77000,77050,12736,8848,12736,11294
77050,77100,12747,8854,12747,11305
77100,77150,12758,8860,12758,11316
77150,77200,12769,8866,12769,11327
77200,77250,12780,8872,12780,11338
77250,77300,12791,8878,12791,11349
77300,77350,12802,8884,12802,11360
77350,77400,12813,8890,12813,11371
77400,77450,12824,8896,12824,11382
77450,77500,12835,8902,12835,11393
77500,77550,12846,8908,12846,11404
77550,77600,12857,8914,12857,11415
77600,77650,12868,8920,12868,11426
77650,77700,12879,8926,12879,11437
77700,77750,12890,8932,12890,11448
77750,77800,12901,8938,12901,11459
77800,77850,12912,8944,12912,11470
77850,77900,12923,8950,12923,11481
77900,77950,12934,8956,12934,11492
77950,78000,12945,8962,12945,11503
78000,78050,12956,8968,12956,11514
78050,78100,12967,8974,12967,11525
78100,78150,12978,8980,12978,11536
78150,78200,12989,8986,12989,11547
78200,78250,13000,8992,13000,11558
78250,78300,13011,8998,13011,11569
78300,78350,13022,9004,13022,11580
78350,78400,13033,9010,13033,11591
78400,78450,13044,9016,13044,11602
78450,78500,13055,9022,13055,11613
78500,78550,13066,9028,13066,11624
78550,78600,13077,9034,13077,11635
78600,78650,13088,9040,13088,11646
78650,78700,13099,9046,13099,11657
78700,78750,13110,9052,13110,11668
78750,78800,13121,9058,13121,11679
78800,78850,13132,9064,13132,11690
78850,78900,13143,9070,13143,11701
78900,78950,13154,9076,13154,11712
78950,79000,13165,9082,13165,11723
79000,79050,13176,9088,13176,11734
79050,79100,13187,9094,13187,11745
79100,79150,13198,9100,13198,11756
79150,79200,13209,9106,13209,11767
79200,79250,13220,9112,13220,11778
79250,79300,13231,9118,13231,11789
79300,79350,13242,9124,13242,11800
79350,79400,13253,9130,13253,11811
79400,79450,13264,9136,13264,11822
79450,79500,13275,9142,13275,11833
79500,79550,13286,9148,13286,11844
79550,79600,13297,9154,13297,11855
79600,79650,13308,9160,13308,11866
79650,79700,13319,9166,13319,11877
79700,79750,13330,9172,13330,11888
79750,79800,13341,9178,13341,11899
79800,79850,13352,9184,13352,11910
79850,79900,13363,9190,13363,11921
79900,79950,13374,9196,13374,11932
79950,80000,13385,9202,13385,11943
80000,80050,13396,9208,13396,11954
80050,80100,13407,9214,13407,11965
80100,80150,13418,9220,13418,11976
80150,80200,13429,9226,13429,11987
80200,80250,13440,9232,13440,11998
80250,80300,13451,9241,13451,12009
80300,80350,13462,9252,13462,12020
80350,80400,13473,9263,13473,12031
80400,80450,13484,9274,13484,12042
80450,80500,13495,9285,13495,12053
80500,80550,13506,9296,13506,12064
80550,80600,13517,9307,13517,12075
80600,80650,13528,9318,13528,12086
80650,80700,13539,9329,13539,12097
80700,80750,13550,9340,13550,12108
80750,80800,13561,9351,13561,12119
80800,80850,13572,9362,13572,12130
80850,80900,13583,9373,13583,12141
80900,80950,13594,9384,13594,12152
80950,81000,13605,9395,13605,12163
81000,81050,13616,9406,13616,12174
81050,81100,13627,9417,13627,12185
81100,81150,13638,9428,13638,12196
81150,81200,13649,9439,13649,12207
81200,81250,13660,9450,13660,12218
81250,81300,13671,9461,13671,12229
81300,81350,13682,9472,13682,12240
81350,81400,13693,9483,13693,12251
81400,81450,13704,9494,13704,12262
81450,81500,13715,9505,13715,12273
81500,81550,13726,9516,13726,12284
81550,81600,13737,9527,13737,12295
81600,81650,13748,9538,13748,12306
81650,81700,13759,9549,13759,12317
81700,81750,13770,9560,13770,12328
81750,81800,13781,9571,13781,12339
81800,81850,13792,9582,13792,12350
81850,81900,13803,9593,13803,12361
81900,81950,13814,9604,13814,12372
